State,Year,Quarter,User_brand,User_count,User_percentage
Andhra Pradesh,2018,3,Oppo,518120,9.545994125967253
Andhra Pradesh,2018,3,Realme,379712,6.995924730871763
Andhra Pradesh,2018,3,Motorola,203756,3.75406002302668
Andhra Pradesh,2018,3,OnePlus,181364,3.3415032785106242
Andhra Pradesh,2018,3,Apple,175343,3.2305706169024084
Andhra Pradesh,2018,3,Huawei,134429,2.476759137573635
Andhra Pradesh,2018,3,Lenovo,122489,2.25677309213233
Andhra Pradesh,2018,3,Others,462313,8.517789667178063
Andhra Pradesh,2018,4,Xiaomi,1753802,25.57528652585838
Andhra Pradesh,2018,4,Samsung,1388061,20.241770616277957
Andhra Pradesh,2018,4,Vivo,1011185,14.74587559237024
Andhra Pradesh,2018,4,Oppo,675093,9.844724151643865
Andhra Pradesh,2018,4,Realme,476746,6.952275998121156
Andhra Pradesh,2018,4,Motorola,250601,3.6544560780901363
Andhra Pradesh,2018,4,OnePlus,210161,3.06472896687364
Andhra Pradesh,2018,4,Apple,209737,3.0585458735216173
Andhra Pradesh,2018,4,Huawei,176237,2.5700231676424727
Andhra Pradesh,2018,4,Lenovo,149583,2.1813340869707494
Andhra Pradesh,2018,4,Others,556203,8.110978942629789
Andhra Pradesh,2019,1,Xiaomi,2110547,25.480407566371632
Andhra Pradesh,2019,1,Samsung,1688342,20.38317188455079
Andhra Pradesh,2019,1,Vivo,1262871,15.246506135021543
Andhra Pradesh,2019,1,Oppo,835541,10.087396877877499
Andhra Pradesh,2019,1,Realme,564832,6.8191561555032045
Andhra Pradesh,2019,1,Motorola,291830,3.523232290062355
Andhra Pradesh,2019,1,Apple,241108,2.910871024200234
Andhra Pradesh,2019,1,OnePlus,237269,2.8645231889483775
Andhra Pradesh,2019,1,Huawei,220082,2.6570263813230417
Andhra Pradesh,2019,1,Lenovo,171471,2.070150992047706
Andhra Pradesh,2019,1,Others,659126,7.957557504093617
Andhra Pradesh,2019,2,Xiaomi,2389374,25.448644547243195
Andhra Pradesh,2019,2,Samsung,1914378,20.38957704028852
Andhra Pradesh,2019,2,Vivo,1466695,15.621413690037164
Andhra Pradesh,2019,2,Oppo,963352,10.260429142476577
Andhra Pradesh,2019,2,Realme,641519,6.83266370241867
Andhra Pradesh,2019,2,Motorola,324778,3.459131922739827
Andhra Pradesh,2019,2,Apple,264860,2.820959797328854
Andhra Pradesh,2019,2,OnePlus,254273,2.7082002210458342
Andhra Pradesh,2019,2,Huawei,250859,2.6718385328026844
Andhra Pradesh,2019,2,Lenovo,189151,2.0146015503456542
Andhra Pradesh,2019,2,Others,729764,7.7725398532730265
Andhra Pradesh,2019,3,Xiaomi,2656468,25.399617332682013
Andhra Pradesh,2019,3,Samsung,2123659,20.305204483963724
Andhra Pradesh,2019,3,Vivo,1674109,16.00686624992243
Andhra Pradesh,2019,3,Oppo,1087660,10.399578608914135
Andhra Pradesh,2019,3,Realme,727964,6.96037258192778
Andhra Pradesh,2019,3,Motorola,348910,3.336076505926697
Andhra Pradesh,2019,3,Apple,286412,2.738506618370001
Andhra Pradesh,2019,3,Huawei,282587,2.701934170933213
Andhra Pradesh,2019,3,OnePlus,271100,2.592102091532852
Andhra Pradesh,2019,3,Lenovo,194180,1.8566373446471753
Andhra Pradesh,2019,3,Others,805644,7.703104011179981
Andhra Pradesh,2019,4,Xiaomi,2985953,25.395328393725297
Andhra Pradesh,2019,4,Samsung,2379139,20.23441634858928
Andhra Pradesh,2019,4,Vivo,1922141,16.347679254845453
Andhra Pradesh,2019,4,Oppo,1241235,10.556619758846043
Andhra Pradesh,2019,4,Realme,844668,7.183844234544604
Andhra Pradesh,2019,4,Motorola,381692,3.246264654955318
Andhra Pradesh,2019,4,Huawei,317290,2.6985299989802582
Andhra Pradesh,2019,4,Apple,308354,2.6225299231162618
Andhra Pradesh,2019,4,OnePlus,286412,2.43591469654869
Andhra Pradesh,2019,4,Lenovo,208785,1.775702309675985
Andhra Pradesh,2019,4,Others,882214,7.503170426172807
Andhra Pradesh,2020,1,Xiaomi,3307542,25.399529721104035
Andhra Pradesh,2020,1,Samsung,2622762,20.140914724705613
Andhra Pradesh,2020,1,Vivo,2165012,16.625725883615956
Andhra Pradesh,2020,1,Oppo,1387060,10.651617332434347
Andhra Pradesh,2020,1,Realme,960418,7.37531542628432
Andhra Pradesh,2020,1,Motorola,411062,3.1566587774898904
Andhra Pradesh,2020,1,Huawei,348324,2.6748763252511507
Andhra Pradesh,2020,1,Apple,329329,2.529008467170325
Andhra Pradesh,2020,1,OnePlus,298911,2.2954202330506845
Andhra Pradesh,2020,1,Lenovo,227154,1.7443783856010493
Andhra Pradesh,2020,1,Others,964486,7.406554723292628
Andhra Pradesh,2020,2,Xiaomi,3635594,25.388802469329786
Andhra Pradesh,2020,2,Samsung,2888149,20.169096016494787
Andhra Pradesh,2020,2,Vivo,2409399,16.825793881495215
Andhra Pradesh,2020,2,Oppo,1535129,10.72041788657913
Andhra Pradesh,2020,2,Realme,1072165,7.487355683700922
Andhra Pradesh,2020,2,Motorola,445380,3.110266119866547
Andhra Pradesh,2020,2,Huawei,379220,2.6482444608554316
Andhra Pradesh,2020,2,Apple,348938,2.4367731809555737
Andhra Pradesh,2020,2,OnePlus,309208,2.15932274999258
Andhra Pradesh,2020,2,Lenovo,243288,1.6989771066731612
Andhra Pradesh,2020,2,Others,1053205,7.354950444056866
Andhra Pradesh,2020,3,Xiaomi,3978789,25.354870716120313
Andhra Pradesh,2020,3,Samsung,3154020,20.09902242517957
Andhra Pradesh,2020,3,Vivo,2687996,17.129280056180043
Andhra Pradesh,2020,3,Oppo,1695723,10.806010933314555
Andhra Pradesh,2020,3,Realme,1207622,7.695582671999607
Andhra Pradesh,2020,3,Motorola,477313,3.041681628787939
Andhra Pradesh,2020,3,Huawei,408520,2.603297582492932
Andhra Pradesh,2020,3,Apple,370327,2.359912327014247
Andhra Pradesh,2020,3,OnePlus,322028,2.052126490490145
Andhra Pradesh,2020,3,Lenovo,260912,1.662664199655821
Andhra Pradesh,2020,3,Others,1129155,7.195550968764826
Andhra Pradesh,2020,4,Xiaomi,4325662,25.33098430509883
