State,Year,Quarter,District,Registered_user,App_opens
Arunachal Pradesh,2018,3,shi yomi,118,0
Arunachal Pradesh,2018,3,east kameng,521,0
Arunachal Pradesh,2018,3,lohit,2612,0
Arunachal Pradesh,2018,3,lepa rada,431,0
Arunachal Pradesh,2018,3,lower dibang valley,1286,0
Arunachal Pradesh,2018,3,longding,644,0
Arunachal Pradesh,2018,3,west siang,1652,0
Arunachal Pradesh,2018,3,kamle,65,0
Arunachal Pradesh,2018,3,upper siang,646,0
Arunachal Pradesh,2018,3,kurung kumey,222,0
Arunachal Pradesh,2018,3,siang,373,0
Arunachal Pradesh,2018,3,kra daadi,190,0
Arunachal Pradesh,2018,3,changlang,2889,0
Arunachal Pradesh,2018,3,pakke kessang,103,0
Arunachal Pradesh,2018,3,east siang,3590,0
Arunachal Pradesh,2018,3,upper subansiri,1169,0
Arunachal Pradesh,2018,3,tawang,3112,0
Arunachal Pradesh,2018,3,namsai,1862,0
Arunachal Pradesh,2018,4,lower subansiri,1459,0
Arunachal Pradesh,2018,4,tirap,1684,0
Arunachal Pradesh,2018,4,papum pare,21342,0
Arunachal Pradesh,2018,4,anjaw,744,0
Arunachal Pradesh,2018,4,lower siang,936,0
Arunachal Pradesh,2018,4,dibang valley,178,0
Arunachal Pradesh,2018,4,west kameng,6492,0
Arunachal Pradesh,2018,4,shi yomi,144,0
Arunachal Pradesh,2018,4,east kameng,691,0
Arunachal Pradesh,2018,4,lohit,3588,0
Arunachal Pradesh,2018,4,lepa rada,548,0
Arunachal Pradesh,2018,4,lower dibang valley,1827,0
Arunachal Pradesh,2018,4,longding,923,0
Arunachal Pradesh,2018,4,west siang,2117,0
Arunachal Pradesh,2018,4,kamle,109,0
Arunachal Pradesh,2018,4,upper siang,868,0
Arunachal Pradesh,2018,4,kurung kumey,321,0
Arunachal Pradesh,2018,4,siang,483,0
Arunachal Pradesh,2018,4,kra daadi,255,0
Arunachal Pradesh,2018,4,changlang,4036,0
Arunachal Pradesh,2018,4,pakke kessang,138,0
Arunachal Pradesh,2018,4,east siang,4813,0
Arunachal Pradesh,2018,4,upper subansiri,1576,0
Arunachal Pradesh,2018,4,tawang,4085,0
Arunachal Pradesh,2018,4,namsai,2495,0
Arunachal Pradesh,2019,1,lower subansiri,1879,0
Arunachal Pradesh,2019,1,tirap,2082,0
Arunachal Pradesh,2019,1,papum pare,26298,0
Arunachal Pradesh,2019,1,anjaw,934,0
Arunachal Pradesh,2019,1,lower siang,1123,0
Arunachal Pradesh,2019,1,dibang valley,211,0
Arunachal Pradesh,2019,1,west kameng,8115,0
Arunachal Pradesh,2019,1,shi yomi,186,0
Arunachal Pradesh,2019,1,east kameng,876,0
Arunachal Pradesh,2019,1,lohit,4416,0
Arunachal Pradesh,2019,1,lepa rada,710,0
Arunachal Pradesh,2019,1,lower dibang valley,2314,0
Arunachal Pradesh,2019,1,longding,1152,0
Arunachal Pradesh,2019,1,west siang,2656,0
Arunachal Pradesh,2019,1,kamle,141,0
Arunachal Pradesh,2019,1,upper siang,1125,0
Arunachal Pradesh,2019,1,kurung kumey,385,0
Arunachal Pradesh,2019,1,siang,651,0
Arunachal Pradesh,2019,1,kra daadi,350,0
Arunachal Pradesh,2019,1,changlang,5210,0
Arunachal Pradesh,2019,1,pakke kessang,162,0
Arunachal Pradesh,2019,1,east siang,5899,0
Arunachal Pradesh,2019,1,upper subansiri,1906,0
Arunachal Pradesh,2019,1,tawang,5023,0
Arunachal Pradesh,2019,1,namsai,3153,0
Arunachal Pradesh,2019,2,lower subansiri,2463,11644
Arunachal Pradesh,2019,2,tirap,2697,12779
Arunachal Pradesh,2019,2,papum pare,32800,163673
Arunachal Pradesh,2019,2,anjaw,1175,4993
